ts,symbol,tf,action,price,size,fee,pnl,reasons,reason
2018-02-23 09:00:00+00:00,BTCUSD_1H,1H,rejected,114147.94,0.0,0.0,0.0,,exposure_limit
2018-02-23 10:00:00+00:00,BTCUSD_1H,1H,rejected,114081.89,0.0,0.0,0.0,,exposure_limit
2018-02-23 12:00:00+00:00,BTCUSD_1H,1H,rejected,113934.91,0.0,0.0,0.0,,exposure_limit
2018-02-23 13:00:00+00:00,BTCUSD_1H,1H,rejected,114081.29,0.0,0.0,0.0,,exposure_limit
2018-02-23 14:00:00+00:00,BTCUSD_1H,1H,rejected,114057.81,0.0,0.0,0.0,,exposure_limit
2018-02-23 16:00:00+00:00,BTCUSD_1H,1H,rejected,113918.1,0.0,0.0,0.0,,exposure_limit
2018-02-24 08:00:00+00:00,BTCUSD_1H,1H,rejected,114372.24,0.0,0.0,0.0,,exposure_limit
2018-02-24 17:00:00+00:00,BTCUSD_1H,1H,enter_long,116755.37159,0.42854559339422643,50.034999999999954,0.0,"['mtf_sync', 'htf_long', 'mtf_neutral']",
2018-02-24 19:00:00+00:00,BTCUSD_1H,1H,rejected,116732.65,0.0,0.0,0.0,,exposure_limit
2018-02-24 23:00:00+00:00,BTCUSD_1H,1H,rejected,117525.79,0.0,0.0,0.0,,exposure_limit
2018-02-25 00:00:00+00:00,BTCUSD_1H,1H,rejected,117241.81,0.0,0.0,0.0,,exposure_limit
2018-02-25 01:00:00+00:00,BTCUSD_1H,1H,rejected,117140.17,0.0,0.0,0.0,,exposure_limit
2018-02-25 02:00:00+00:00,BTCUSD_1H,1H,rejected,117614.78,0.0,0.0,0.0,,exposure_limit
2018-02-25 03:00:00+00:00,BTCUSD_1H,1H,rejected,117515.49,0.0,0.0,0.0,,exposure_limit
2018-02-25 04:00:00+00:00,BTCUSD_1H,1H,rejected,117306.0,0.0,0.0,0.0,,exposure_limit
2018-02-25 05:00:00+00:00,BTCUSD_1H,1H,rejected,116923.73,0.0,0.0,0.0,,exposure_limit
2018-02-25 06:00:00+00:00,BTCUSD_1H,1H,rejected,116736.93,0.0,0.0,0.0,,exposure_limit
2018-02-25 07:00:00+00:00,BTCUSD_1H,1H,rejected,116777.39,0.0,0.0,0.0,,exposure_limit
2018-02-25 08:00:00+00:00,BTCUSD_1H,1H,rejected,116780.0,0.0,0.0,0.0,,exposure_limit
2018-02-25 09:00:00+00:00,BTCUSD_1H,1H,rejected,116558.16,0.0,0.0,0.0,,exposure_limit
2018-02-25 10:00:00+00:00,BTCUSD_1H,1H,rejected,116780.78,0.0,0.0,0.0,,exposure_limit
2018-02-25 11:00:00+00:00,BTCUSD_1H,1H,rejected,116851.97,0.0,0.0,0.0,,exposure_limit
2018-02-25 12:00:00+00:00,BTCUSD_1H,1H,rejected,116655.08,0.0,0.0,0.0,,exposure_limit
2018-02-25 13:00:00+00:00,BTCUSD_1H,1H,rejected,116712.13,0.0,0.0,0.0,,exposure_limit
2018-02-25 14:00:00+00:00,BTCUSD_1H,1H,rejected,116566.72,0.0,0.0,0.0,,exposure_limit
2018-02-25 15:00:00+00:00,BTCUSD_1H,1H,rejected,116930.25,0.0,0.0,0.0,,exposure_limit
2018-02-25 16:00:00+00:00,BTCUSD_1H,1H,rejected,116535.98,0.0,0.0,0.0,,exposure_limit
2018-02-25 17:00:00+00:00,BTCUSD_1H,1H,rejected,116953.25,0.0,0.0,0.0,,exposure_limit
2018-02-25 18:00:00+00:00,BTCUSD_1H,1H,rejected,116517.13,0.0,0.0,0.0,,exposure_limit
2018-02-25 19:00:00+00:00,BTCUSD_1H,1H,rejected,116212.94,0.0,0.0,0.0,,exposure_limit
2018-02-25 20:00:00+00:00,BTCUSD_1H,1H,rejected,116213.47,0.0,0.0,0.0,,exposure_limit
2018-02-25 21:00:00+00:00,BTCUSD_1H,1H,rejected,116727.56,0.0,0.0,0.0,,exposure_limit
2018-02-25 22:00:00+00:00,BTCUSD_1H,1H,rejected,116533.35,0.0,0.0,0.0,,exposure_limit
2018-02-25 23:00:00+00:00,BTCUSD_1H,1H,rejected,116467.8,0.0,0.0,0.0,,exposure_limit
2018-02-26 00:00:00+00:00,BTCUSD_1H,1H,rejected,116923.59,0.0,0.0,0.0,,exposure_limit
2018-02-26 01:00:00+00:00,BTCUSD_1H,1H,rejected,116945.6,0.0,0.0,0.0,,exposure_limit
2018-02-26 02:00:00+00:00,BTCUSD_1H,1H,rejected,116893.02,0.0,0.0,0.0,,exposure_limit
2018-02-26 03:00:00+00:00,BTCUSD_1H,1H,rejected,116683.79,0.0,0.0,0.0,,exposure_limit
2018-02-26 04:00:00+00:00,BTCUSD_1H,1H,rejected,116596.6,0.0,0.0,0.0,,exposure_limit
2018-02-26 05:00:00+00:00,BTCUSD_1H,1H,rejected,116560.98,0.0,0.0,0.0,,exposure_limit
2018-02-26 06:00:00+00:00,BTCUSD_1H,1H,rejected,116392.06,0.0,0.0,0.0,,exposure_limit
2018-02-26 07:00:00+00:00,BTCUSD_1H,1H,rejected,116394.98,0.0,0.0,0.0,,exposure_limit
2018-02-26 08:00:00+00:00,BTCUSD_1H,1H,rejected,116465.87,0.0,0.0,0.0,,exposure_limit
2018-02-26 09:00:00+00:00,BTCUSD_1H,1H,rejected,116754.93,0.0,0.0,0.0,,exposure_limit
2018-02-26 10:00:00+00:00,BTCUSD_1H,1H,rejected,116671.63,0.0,0.0,0.0,,exposure_limit
2018-02-26 11:00:00+00:00,BTCUSD_1H,1H,rejected,116772.96,0.0,0.0,0.0,,exposure_limit
2018-02-26 12:00:00+00:00,BTCUSD_1H,1H,rejected,117120.15,0.0,0.0,0.0,,exposure_limit
2018-02-26 13:00:00+00:00,BTCUSD_1H,1H,rejected,117512.88,0.0,0.0,0.0,,exposure_limit
2018-02-26 14:00:00+00:00,BTCUSD_1H,1H,rejected,117437.46,0.0,0.0,0.0,,exposure_limit
2018-02-26 15:00:00+00:00,BTCUSD_1H,1H,rejected,117134.05,0.0,0.0,0.0,,exposure_limit
2018-02-26 16:00:00+00:00,BTCUSD_1H,1H,rejected,117112.71,0.0,0.0,0.0,,exposure_limit
2018-02-26 17:00:00+00:00,BTCUSD_1H,1H,rejected,116975.66,0.0,0.0,0.0,,exposure_limit
2018-02-26 18:00:00+00:00,BTCUSD_1H,1H,rejected,116978.77,0.0,0.0,0.0,,exposure_limit
2018-02-26 19:00:00+00:00,BTCUSD_1H,1H,rejected,116912.04,0.0,0.0,0.0,,exposure_limit
2018-02-26 20:00:00+00:00,BTCUSD_1H,1H,rejected,116665.42,0.0,0.0,0.0,,exposure_limit
2018-02-26 21:00:00+00:00,BTCUSD_1H,1H,rejected,116697.91,0.0,0.0,0.0,,exposure_limit
2018-02-26 22:00:00+00:00,BTCUSD_1H,1H,rejected,116655.71,0.0,0.0,0.0,,exposure_limit
2018-02-26 23:00:00+00:00,BTCUSD_1H,1H,rejected,116569.86,0.0,0.0,0.0,,exposure_limit
2018-02-27 00:00:00+00:00,BTCUSD_1H,1H,rejected,116793.13,0.0,0.0,0.0,,exposure_limit
2018-02-27 01:00:00+00:00,BTCUSD_1H,1H,rejected,116546.62,0.0,0.0,0.0,,exposure_limit
2018-02-27 02:00:00+00:00,BTCUSD_1H,1H,rejected,116573.12,0.0,0.0,0.0,,exposure_limit
2018-02-27 03:00:00+00:00,BTCUSD_1H,1H,rejected,116492.51,0.0,0.0,0.0,,exposure_limit
2018-02-27 04:00:00+00:00,BTCUSD_1H,1H,rejected,116773.9,0.0,0.0,0.0,,exposure_limit
2018-02-27 05:00:00+00:00,BTCUSD_1H,1H,rejected,116606.82,0.0,0.0,0.0,,exposure_limit
2018-02-27 06:00:00+00:00,BTCUSD_1H,1H,rejected,117324.99,0.0,0.0,0.0,,exposure_limit
2018-02-27 07:00:00+00:00,BTCUSD_1H,1H,rejected,118515.2,0.0,0.0,0.0,,exposure_limit
2018-02-27 08:00:00+00:00,BTCUSD_1H,1H,rejected,118507.77,0.0,0.0,0.0,,exposure_limit
2018-02-27 09:00:00+00:00,BTCUSD_1H,1H,rejected,118065.13,0.0,0.0,0.0,,exposure_limit
2018-02-27 10:00:00+00:00,BTCUSD_1H,1H,rejected,118072.5,0.0,0.0,0.0,,exposure_limit
