ts,symbol,tf,action,price,size,fee,pnl,reasons,reason
2025-07-30 16:00:00+00:00,BTCUSD_4H,4H,stop,116853.249996,0.059638674828645204,1.3937945958363662,-116.78836582363128,,stop_loss
2025-07-31 16:00:00+00:00,BTCUSD_4H,4H,enter_short,116711.066892,0.04216072511628827,0.9841246418524688,0.0,4.0,
2025-08-01 16:00:00+00:00,BTCUSD_4H,4H,tp1,113293.219168,0.013913039288375128,0.3152506018781756,47.552649665695604,,take_profit_1R
2025-08-07 12:00:00+00:00,BTCUSD_4H,4H,stop,116779.34306,0.02824768582791314,0.6597492387897937,-1.928643743197723,,stop_loss
2025-08-08 00:00:00+00:00,BTCUSD_4H,4H,enter_long,116824.100956,0.04797454881650208,1.1209167068515178,0.0,4.0,
2025-08-10 20:00:00+00:00,BTCUSD_4H,4H,tp1,119261.64625199999,0.015831601109445686,0.37762056222349644,38.59024481247766,,take_profit_1R
2025-08-11 00:00:00+00:00,BTCUSD_4H,4H,tp2,121660.80620400001,0.01060717274332861,0.2580954374996906,51.303768074100184,,take_profit_2R
2025-08-13 20:00:00+00:00,BTCUSD_4H,4H,tp3,123316.283748,0.007322163487667445,0.1805883980588888,47.53682379484534,,take_profit_3R
2025-08-17 16:00:00+00:00,BTCUSD_4H,4H,enter_short,117609.297456,0.06556474190439358,1.5422046466519386,0.0,4.0,
2025-08-18 00:00:00+00:00,BTCUSD_4H,4H,tp1,115443.268844,0.021636364828449883,0.49955453633952124,46.8649852780928,,take_profit_1R
2025-08-19 12:00:00+00:00,BTCUSD_4H,4H,tp2,113837.426764,0.014496364435061422,0.3300457649441118,54.67841215315927,,take_profit_2R
2025-08-19 20:00:00+00:00,BTCUSD_4H,4H,tp3,112901.332476,0.010006884297899976,0.2259581142332138,47.11206083342502,,take_profit_3R
2025-09-04 04:00:00+00:00,BTCUSD_4H,4H,enter_long,110531.134776,0.04297352217126785,0.9499824341823663,0.0,4.0,
2025-09-05 04:00:00+00:00,BTCUSD_4H,4H,tp1,112915.895568,0.01418126231651839,0.3202579869508809,33.818918353500166,,take_profit_1R
2025-09-06 12:00:00+00:00,BTCUSD_4H,4H,stop,110354.220648,0.02879225985474946,0.6354694793931149,-5.093757545352522,,stop_loss
2025-06-26 00:00:00+00:00,ETHUSD_4H,1D,enter_short,2489.4738119999997,0.32572380482629615,0.16217617641201268,0.0,4.0,
